transcript,severity
Power is out but no flooding observed yet.,LOW
Traffic is completely impassable due to localized flooding.,MODERATE
Just reporting some minor debris on the sidewalk.,LOW
"Water has completely submerged the ground floor, families trapped.",SEVERE
the road is completely blocked by water.,MODERATE
"There is a large puddle on MG Road, but traffic is moving.",LOW
Water is entering the basement of the store. Please hurry.,MODERATE
"Umm, We need a rescue boat immediately, water is rising fast. Please hurry.",SEVERE
people are trapped on the roof of the building on linking road.,SEVERE
power is out but no flooding observed yet.,LOW
"Umm, Just reporting some minor debris on the sidewalk.",LOW
The road is completely blocked by water.,MODERATE
Water is entering the basement of the store.,MODERATE
Someone is drowning in the flood waters!,SEVERE
"Water is knee-deep on SV Road, cars are stalling.",MODERATE
power is out but no flooding observed yet.,LOW
Power is out but no flooding observed yet.,LOW
The bridge collapsed near the main highway.,SEVERE
Water is entering the basement of the store. Please hurry.,MODERATE
Power is out but no flooding observed yet.,LOW
Someone is drowning in the flood waters!,SEVERE
the road is completely blocked by water.,MODERATE
The road is completely blocked by water.,MODERATE
Power is out but no flooding observed yet. Please hurry.,LOW
The road is completely blocked by water.,MODERATE
The bridge collapsed near the main highway.,SEVERE
"it's just a light drizzle right now, everything is fine. Please hurry.",LOW
Water is entering the basement of the store. Please hurry.,MODERATE
"We need a rescue boat immediately, water is rising fast.",SEVERE
someone is drowning in the flood waters!,SEVERE
Traffic is completely impassable due to localized flooding.,MODERATE
"We need a rescue boat immediately, water is rising fast.",SEVERE
Power is out but no flooding observed yet.,LOW
Someone is drowning in the flood waters!,SEVERE
"We need a rescue boat immediately, water is rising fast.",SEVERE
The road is completely blocked by water.,MODERATE
Someone is drowning in the flood waters! Please hurry.,SEVERE
"There is a large puddle on Marine Drive, but traffic is moving.",LOW
"Umm, There is a large puddle on Carter Road, but traffic is moving.",LOW
The road is completely blocked by water. Please hurry.,MODERATE
"Water has completely submerged the ground floor, families trapped.",SEVERE
people are trapped on the roof of the building on lbs marg.,SEVERE
the road is completely blocked by water. Please hurry.,MODERATE
"Umm, there is a large puddle on carter road, but traffic is moving.",LOW
The bridge collapsed near the main highway.,SEVERE
"We need a rescue boat immediately, water is rising fast. Please hurry.",SEVERE
someone is drowning in the flood waters! Please hurry.,SEVERE
The bridge collapsed near the main highway.,SEVERE
power is out but no flooding observed yet. Please hurry.,LOW
people are trapped on the roof of the building on sv road.,SEVERE
power is out but no flooding observed yet.,LOW
someone is drowning in the flood waters!,SEVERE
"Water has completely submerged the ground floor, families trapped. Please hurry.",SEVERE
The road is completely blocked by water.,MODERATE
"There is a large puddle on Linking Road, but traffic is moving.",LOW
The bridge collapsed near the main highway. Please hurry.,SEVERE
the bridge collapsed near the main highway.,SEVERE
The road is completely blocked by water.,MODERATE
Power is out but no flooding observed yet.,LOW
"we need a rescue boat immediately, water is rising fast. Please hurry.",SEVERE
the bridge collapsed near the main highway. Please hurry.,SEVERE
"Umm, The road is completely blocked by water. Please hurry.",MODERATE
"there is a large puddle on linking road, but traffic is moving. Please hurry.",LOW
power is out but no flooding observed yet.,LOW
Someone is drowning in the flood waters!,SEVERE
Water is entering the basement of the store.,MODERATE
"Umm, Water has completely submerged the ground floor, families trapped.",SEVERE
Someone is drowning in the flood waters!,SEVERE
Power is out but no flooding observed yet. Please hurry.,LOW
"it's just a light drizzle right now, everything is fine. Please hurry.",LOW
Someone is drowning in the flood waters! Please hurry.,SEVERE
just reporting some minor debris on the sidewalk.,LOW
"there is a large puddle on mg road, but traffic is moving.",LOW
"Water has completely submerged the ground floor, families trapped. Please hurry.",SEVERE
"It's just a light drizzle right now, everything is fine.",LOW
the bridge collapsed near the main highway.,SEVERE
the bridge collapsed near the main highway.,SEVERE
"There is a large puddle on SV Road, but traffic is moving.",LOW
"we need a rescue boat immediately, water is rising fast. Please hurry.",SEVERE
"it's just a light drizzle right now, everything is fine.",LOW
Traffic is completely impassable due to localized flooding.,MODERATE
Water is entering the basement of the store.,MODERATE
"it's just a light drizzle right now, everything is fine.",LOW
Power is out but no flooding observed yet.,LOW
Just reporting some minor debris on the sidewalk.,LOW
"Water is knee-deep on MG Road, cars are stalling.",MODERATE
water is entering the basement of the store.,MODERATE
People are trapped on the roof of the building on LBS Marg.,SEVERE
"There is a large puddle on Carter Road, but traffic is moving.",LOW
the bridge collapsed near the main highway.,SEVERE
Power is out but no flooding observed yet.,LOW
The road is completely blocked by water. Please hurry.,MODERATE
The road is completely blocked by water.,MODERATE
"Umm, People are trapped on the roof of the building on Marine Drive. Please hurry.",SEVERE
The bridge collapsed near the main highway.,SEVERE
traffic is completely impassable due to localized flooding.,MODERATE
"Water has completely submerged the ground floor, families trapped.",SEVERE
Water is entering the basement of the store. Please hurry.,MODERATE
Water is entering the basement of the store.,MODERATE
Power is out but no flooding observed yet. Please hurry.,LOW
"water is knee-deep on sv road, cars are stalling.",MODERATE
People are trapped on the roof of the building on SV Road.,SEVERE
Just reporting some minor debris on the sidewalk.,LOW
power is out but no flooding observed yet.,LOW
Power is out but no flooding observed yet.,LOW
power is out but no flooding observed yet. Please hurry.,LOW
"We need a rescue boat immediately, water is rising fast.",SEVERE
Water is entering the basement of the store. Please hurry.,MODERATE
just reporting some minor debris on the sidewalk.,LOW
"Umm, Power is out but no flooding observed yet. Please hurry.",LOW
"water is knee-deep on lbs marg, cars are stalling.",MODERATE
people are trapped on the roof of the building on marine drive.,SEVERE
"Water has completely submerged the ground floor, families trapped. Please hurry.",SEVERE
"Water has completely submerged the ground floor, families trapped.",SEVERE
The bridge collapsed near the main highway.,SEVERE
"We need a rescue boat immediately, water is rising fast.",SEVERE
Traffic is completely impassable due to localized flooding.,MODERATE
"water is knee-deep on sv road, cars are stalling.",MODERATE
"There is a large puddle on Linking Road, but traffic is moving.",LOW
The bridge collapsed near the main highway.,SEVERE
People are trapped on the roof of the building on Carter Road.,SEVERE
"Water has completely submerged the ground floor, families trapped. Please hurry.",SEVERE
Someone is drowning in the flood waters! Please hurry.,SEVERE
traffic is completely impassable due to localized flooding.,MODERATE
Water is entering the basement of the store.,MODERATE
Someone is drowning in the flood waters!,SEVERE
Someone is drowning in the flood waters!,SEVERE
water is entering the basement of the store.,MODERATE
"Water is knee-deep on MG Road, cars are stalling. Please hurry.",MODERATE
"We need a rescue boat immediately, water is rising fast.",SEVERE
"water has completely submerged the ground floor, families trapped. Please hurry.",SEVERE
"We need a rescue boat immediately, water is rising fast.",SEVERE
power is out but no flooding observed yet.,LOW
"we need a rescue boat immediately, water is rising fast.",SEVERE
power is out but no flooding observed yet.,LOW
the road is completely blocked by water.,MODERATE
"water is knee-deep on mg road, cars are stalling.",MODERATE
"it's just a light drizzle right now, everything is fine.",LOW
Someone is drowning in the flood waters!,SEVERE
"it's just a light drizzle right now, everything is fine.",LOW
people are trapped on the roof of the building on linking road.,SEVERE
"There is a large puddle on SV Road, but traffic is moving. Please hurry.",LOW
Power is out but no flooding observed yet. Please hurry.,LOW
"there is a large puddle on carter road, but traffic is moving.",LOW
